                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0159,                 4.4154,                 4.1863,                0.00048,                 0.0098,                0.00029,                  9e-05,                  5.867,                 4.3813,                 4.1531,             0.00043342,             0.00043342,             0.00043342
                      2,                 3.8894,                  3.044,                 3.6576,                0.00101,                0.01103,                0.00054,                0.00015,                 5.8689,                 4.4082,                 4.1933,             0.00083978,             0.00083978,             0.00083978
                      3,                 2.7326,                 2.0666,                 2.6716,                0.00075,                0.01225,                0.00292,                0.00048,                 5.7715,                 4.5317,                  4.178,              0.0012016,              0.0012016,              0.0012016
                      4,                 2.3127,                 1.7621,                 2.2567,                0.67941,                0.25101,                0.13214,                 0.0479,                  2.101,                 2.0939,                 2.2193,              0.0014195,              0.0014195,              0.0014195
                      5,                 2.2139,                 1.6748,                 2.0671,                0.66831,                0.27206,                0.16825,                0.08125,                 1.7862,                  2.614,                 1.8561,              0.0014195,              0.0014195,              0.0014195
                      6,                 2.0314,                 1.5217,                 1.9408,                0.84517,                0.34314,                0.35047,                0.14519,                 1.9094,                  1.772,                 1.9078,              0.0013369,              0.0013369,              0.0013369
                      7,                 2.0633,                 1.5161,                 1.8674,                0.91909,                0.35548,                0.39229,                0.20986,                 1.6572,                 1.6429,                 1.6943,              0.0012544,              0.0012544,              0.0012544
                      8,                 2.0203,                 1.7929,                 1.8706,                0.91718,                0.39583,                0.42971,                0.23673,                 1.6032,                 1.2959,                 1.5972,              0.0011719,              0.0011719,              0.0011719
                      9,                  1.912,                 1.4096,                 1.7356,                0.89678,                0.38725,                0.40658,                0.21076,                 1.6472,                 1.2658,                 1.5747,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.7949,                 1.3204,                 1.6493,                0.92503,                0.40686,                0.43765,                0.26152,                  1.464,                 1.2644,                 1.4868,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.6823,                 1.2834,                 1.6294,                0.92717,                0.41054,                0.44428,                 0.2611,                 1.4655,                 1.1635,                 1.4863,             0.00092435,             0.00092435,             0.00092435
                     12,                  1.686,                 1.3189,                 1.6557,                0.93185,                0.41155,                0.44572,                0.26807,                 1.4717,                 1.0947,                 1.4502,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.5926,                  1.253,                 1.6086,                0.92759,                0.40564,                0.43486,                0.26603,                 1.4048,                 1.0797,                 1.3935,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.4651,                 1.1089,                 1.4916,                0.93597,                0.41422,                0.44974,                0.29468,                 1.2889,                  1.022,                 1.3491,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.5167,                 1.1293,                 1.5201,                0.92525,                0.41054,                0.44392,                0.27814,                  1.351,                 1.0606,                 1.3778,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.4263,                 1.0868,                 1.4571,                0.92359,                0.40763,                0.43231,                 0.2878,                 1.2388,                 1.0016,                 1.3078,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.4856,                 1.1031,                 1.4671,                0.92958,                0.41912,                0.45014,                0.29932,                 1.2773,                0.94042,                  1.297,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.3592,                 1.0452,                 1.4355,                0.93475,                0.40828,                0.44782,                0.30042,                 1.2417,                0.94885,                  1.289,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.3365,                 1.0143,                 1.3923,                0.93747,                0.40441,                0.44947,                0.29887,                 1.2225,                0.96498,                 1.2992,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.3303,                 1.0092,                 1.3965,                  0.944,                0.40813,                0.45211,                 0.3158,                 1.1451,                0.89492,                 1.2541,              0.0001817,              0.0001817,              0.0001817
